name,price,link
Johnnie Walker Black Label Icon 2.0,34.99,https://www.whiskyshop.com/johnnie-walker-black-icon-2-0
Compass Box Flaming Heart 2022,130.00,https://www.whiskyshop.com/compass-box-flaming-heart-2022
Johnnie Walker Blue Label Year Of the Rabbit,210.00,https://www.whiskyshop.com/johnnie-walker-blue-label-year-of-the-rabbit
White Heather 21 Year Old,120.00,https://www.whiskyshop.com/white-heather-21-year-old
Black Bottle Alchemy Series Smoke & Dagger,28.00,https://www.whiskyshop.com/black-bottle-alchemy-series-smoke-dagger
Black Bottle Alchemy Series Andean Oak,28.00,https://www.whiskyshop.com/black-bottle-alchemy-series-andean-oak
Johnnie Walker 70cl Red Label with 20cl Black Label Gift Pack,25.00,https://www.whiskyshop.com/johnnie-walker-70cl-red-label-with-20cl-black-label-gift-pack
Johnnie Walker Ghost & Rare Port Dundas,265.00,https://www.whiskyshop.com/johnnie-walker-ghost-rare-port-dundas
Compass Box Ultramarine Limited Edition,299.00,https://www.whiskyshop.com/compass-box-ultramarine-limited-edition
Compass Box Blenders Pack 3x5cl,24.00,https://www.whiskyshop.com/compass-box-blenders-pack-3x5cl
Compass Box Glasgow Blend,38.00,https://www.whiskyshop.com/compass-box-glasgow-blend
Compass Box Artist Blend,39.00,https://www.whiskyshop.com/compass-box-artist-blend
Elements of Islay Bourbon Cask,54.00,https://www.whiskyshop.com/elements-of-islay-bourbon-cask
Elements of Islay Sherry Cask,64.95,https://www.whiskyshop.com/elements-of-islay-sherry-cask
Dewar's 15 Year Old,45.00,https://www.whiskyshop.com/dewar-s-15-year-old
Dewar's Signature 25 Year Old,190.00,https://www.whiskyshop.com/dewar-s-signature-25-year-old
Dewar's 8 Year Old Rum Cask Finish,25.00,https://www.whiskyshop.com/dewar-s-8-year-old-rum-cask-finish
Dewar's 8 Year Old Mezcal Cask Finish,25.00,https://www.whiskyshop.com/dewar-s-8-year-old-mezcal-cask-finish
Compass Box Menagerie,89.00,https://www.whiskyshop.com/compass-box-menagerie
Compass Box Canvas,99.00,https://www.whiskyshop.com/compass-box-canvas
It's A Small World Whisky Blend Batch 1 That Boutique-y Whisky Company,50.95,https://www.whiskyshop.com/it-s-a-small-world-whisky-blend-batch-1-that-boutique-y-whisky-company
Sassenach Blended Whisky,79.95,https://www.whiskyshop.com/sassenach-blended-malt
The Legacy Collection 33 Year Old The Tops,"1,450.00",https://www.whiskyshop.com/the-legacy-collection-33-year-old-the-tops
The Legacy Collection 39 Year Old Sunshine On Speyside,950.00,https://www.whiskyshop.com/the-legacy-collection-39-year-old-sunshine-on-speyside
